"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"192","Ridge","40","190","190","East Fat Pit","St Louis"
"37","Cleveland","4","343","700","East Jefferson","Lesueur"
"47","Henning","8","113","404","East Leaf","Otter Tail"
"36","Battle Lake","10.2","327","501","East Lost","Otter Tail"
"12","Strandquist","11.968","405","405","East Park WMA","Marshall"
"10","South Haven","5","8","8","East Pittman","Wright"
"28","Grand Marais","10.3","19","35.53","East Pope","Cook"
"10","Austin","2","39","39","East Side","Mower"
"48","Dent","16","58","310","East Silent","Otter Tail"
"14","Willmar","12","706","706","East Soloman","Kandiyohi"
"9","Graceville","1.3","428","436.64","East Toqua","Big Stone"
"22","Florence","3.2","224","352","East Twin","Lyon"
"132","Ridge","33","275","275","East & West Stephens Settling Basin","St Louis"
"14","Pine Springs","4.93","28","28","Echo","Washington"
"77","Eden Valley","5.5","124","263","Eden","Stearns"
"9","Edina","3","3.9","3.9026629936","Edina Mill Pond","Hennepin"
"44","Grand Marais","8.5","10","10","Edith","Cook"
"12","Marcell","1.9","N/A","50","Edmund","Itasca"
"75","Merrifield","12","1198","2576","Edward","Crow Wing"
"30","Nevis","n/a","153","492","Eighth Crow Wing","Hubbard"
"10","Dassel","5","36","36","Eighty Acre","Meeker"
"76","Waubun","15","200","1001","Elbow","Becker"
"9","Grand Marais","4.5","437","437","Elbow","Cook"
"23","Tofte","7","382","516","Elbow","Cook"
"46","Battle Lake","24","80","189","Elbow","Otter Tail"
"33","Finlayson","5","73","103","Elbow","Pine"
"60","Orr","6","664","1659","Elbow","St. Louis"
"22","Iron Junction","9","130","165","Elbow","St. Louis"
"30","Orr","2.8","331","742","Elephant","St. Louis"
"13","Kroschel","3.2","290","290","Eleven","Kanabec"
"49","Sturgeon Lake","7","69","109","Eleven","Pine"
"80","Akeley","14","169","790","Eleventh Crow Wing","Hubbard"
"9","Atwater","4","1054","1054","Elizabeth","Kandiyohi"
"93","Lake Itasca","13.7","73","271","Elk","Clearwater"
"29","Hoffman","6.5","97","190","Elk","Grant"
"9","Clear Lake","1.9","360","360","Elk (Big)","Sherburne"
"15","Zimmerman","2.5","353","353","Elk (Little)","Sherburne"
"10","St Augusta","5","4","4","Elkton Slough","Stearns"
"13","Eveleth","10","398","398","Elliot","St. Louis"
"25","Aitkin","n/a","389","522","Elm Island","Aitkin"
"140","Lake Elmo","14","44","206","Elmo","Washington"
"35","Cotton","9.7","110","296","Elora","St. Louis"
"70","Eveleth","15","225","673","Ely","St. Louis"
"13","Elysian","N/A","1902","1902","Elysian","Waseca"
"19","Biwabik","5","407","442","Embarrass","St. Louis"
"465","Aurora","33","12.5","156.08","Embarrass Mine Pit","St. Louis"
"13","Emily","6","664","664","Emily","Crow Wing"
"37","St.Peter","2","165","235","Emily","Lesueur"
"7","Hancock","1.5","2377","2377","Emily","Pope"
"10","Aden Hills","3","13","13","Emily","Ramsey"
"17","Howard Lake","9","177","177","Emma","Wright"
"30","Ely","11","675","1408","Ensign","Lake"
"12","Fairhaven","6","15","15","Estes","Stearns"
"90","Biwabik","8","82","366","Esquagama","St. Louis"
"31","Palisade","4","520","853","Esquagamah","Aitkin"
"64","Ottertail","14","69","194","Ethel","Otter Tail"
"30","Audubon","14.8","187","325","Eunice","Becker"
"15","Ely","8","109","109","Everett","St. Louis"
"38","Lake George","21.5","87","200","Evergreen","Hubbard"
"18","Shoreview","4.672","18","18","Evergreen Ponds","Ramsey"
"8","Fairhaven","4","3","3","Eye Slough","Stearns"
"4","Fairhaven","4","5","5","Fairhaven Oxbow","Stearns"
"7","South Haven","4","22","22","Fairhaven Slough","Wright"
"37","Sauk Centre","N/A","140","297","Fairy","Todd"
"32","Winton","7","1178","2173","Fall","Lake"
"33","Cambridge","6.2","308","366","Fannie","Isanti"
"56","Ely","8","459","1328","Farm","Lake"
"56","Bennettville","11","883","2054","Farm Island","Aitkin"
"8,2,3,2,4","St Augusta","3,2,3,2,4","480,3,2,0.1,2","480,3,2,0.1,2","Farm Slough 1,2,3,4,5","Stearns"
"18","New Brighton","6","10","10","Farrel's","Ramsey"
"6","Fairhaven","3","6","6","Fence Slough","Stearns"
"43","Ely","14","63","105","Fenske","St. Louis"
"2,4","St Augusta","2,4","3,0.5","3,0.5","Fence Slough 1,2","Stearns"
"22","Hawley","8","99","139","Fifteen","Clay"
"2,6","Rockville","2,3","2.2,3","2.2,3","Field Slough 1,2","Stearns"
"35","Nevis","4.9","196","392","Fifth Crow Wing","Hubbard"
"12","Saint Nicholas","4.608","34","34","Fink","Stearns"
"4.5","Isabella","2","4.12","4.12","Finn Pond","Lake"
"23","Chaska","4.25","7","8.49","Firemen's Clayhole","Carver"
"15","Hubbard","12.5","526","526","First Crow Wing","Hubbard"
"7","Fulda","1","179","179","First Fulda","Murray"
"57","Harris","10","141","306","Fish","Chisago"
"48","Maple Grove","2.7","45","223","Fish","Hennepin"
"26","Windom","5","150","300","Fish","Jackson"
"17","Parkers Prairie","5","428","435","Fish","Otter Tail"
"69","Pelican Rapids","9","127","261","Fish","Otter Tail"
"19","Fergus Falls","4","888","888","Fish","Otter Tail"
"36","Duluth","4.3","2953.2","3258.5","Fish","St. Louis"
"28","Prior Lake","6.5","74","171","Fish","Scott"
"76","Park Rapids","9.5","661","1632","Fishhook","Hubbard"
"26","Battle Lake","5.2","186","250","Fiske","Otter Tail"
"77","Vergas","14","108","224","Five","Otter Tail"
"33","Effie","15","111","175","Five Island(Ball)","Itasca"
"37","Hackensack","6","88","219","Five Point","Cass"
"45","Erhard","22.4","21","51.93","Fladmark","Otter Tail"
"15","Palisade","n/a","290","296","Fleming","Aitkin"
"8","Maine Prairie","4","10","10","Flooded Slough","Stearns"
"55","Goodland","7.5","157","328","Floodwood","St. Louis"
"10","Hartley Spur","4","1.3774104683","1.3774104683","Floodwood Pond","Aitkin"
"23","Florian","3","42.7","42.7","Florian Park Reservoir","Marshall"
"3","4",,"8","4","Floral Slough","South Haven"
"40","Spicer","10.5","267","674","Florida","Kandiyohi"
"8","McGregor","2","n/a","705","Flowage","Aitkin"
"34","Detroit Lakes","12","861","1212","Floyd","Becker"
"64","Fond du Lac","5.3","112","217","Fond du Lac Reservoir","Carlton"
"24","Willmar","3","663","694","Foot","Kandiyohi"
"39","Marcell","12","37","37","Forest","Itasca"
"37","Forest Lake","5.1","1531","2251","Forest Lake","Washington"
"7","Lake Park","0.8","361","361","Forget-Me-Not","Becker"
"14","Albert Lea","2","534","534","Fountain","Freeborn"
"19.5","Tofte","7.5","559","572","Four Mile","Cook"
"14.5","Buhl","n/a","375.5","386","Fourteen","St. Louis"
"75","Marcell","12","193","280","Fox","Itasca"
"8.5","Currie","1.2","174","174","Fox","Murray"
"15","Willow River","2.5","239","239","Fox","Pine"
"47","Shieldsville","2","139","308","Fox","Rice"
"65","Fifty Lakes","18","101","239","Fox (East)","Crow Wing"
"55","Fifty Lakes","17","138","472","Fox (West)","Crow Wing"
"60","Elysian","8.5","502","797","Frances","Lesueur"
"7","Isanti","1.4","301","301","Francis","Isanti"
"17","Kingston","6.5","871","921","Francis","Meeker"
"48","Pelican Rapids","11","749","1336","Franklin","Otter Tail"
"18","Crane Lake","6.3","120","135","Franklin","St. Louis"
"18","Farwell","4","171","241","Freeborn","Douglas"
"6.7","Freeborn","0.4","2222","2222","Freeborn","Freeborn"
"8","Zimmerman","3.3","484","484","Fremont","Sherburne"
"56","Faribault","14","397.5","816","French","Rice"
"50","Annanndale","5","156","332","French","Wright"
"38","Ely","16","21.5","41.7","Frog","Lake"
"16","Becida","6.5","173","204","Frontenac","Hubbard"
"28","Clearwater","4","26.7","31.37","Fuller","Stearns"
"50","Ely","3","457","896","Gabbro","Lake"
"42","Sunburg","9.3","242","515","Games","Kandiyohi"
"55","Ely","7","239","670","Garden","Lake"
"32","Laporte","11.2","521","979","Garfield","Hubbard"
"33","Virginia","5.5","10","12","Gate","St. Louis"
"10","Isabella","4","159","159","Gegoka","Lake"
"63","Alexandria","9","265","631","Geneva","Douglas"
"8","Geneva","0.2","2214","2214","Geneva","Freeborn"
"32","St Francis","13.75","391","495","George","Anoka"
"20","Outing","4.5","711","720","George","Cass"
"29","Lake George","9","453","798","George","Hubbard"
"34","Spicer","15.5","112","231","George","Kandiyohi"
"32","Saint Cloud","7.5","4","9","George","Stearns"
"51","Elysian","5","521","899","German","Lesueur"
"41","Little Canada","6.5","91","234","Gervais","Ramsey"
"11","South Haven","6","5","5","Ghost Slough","Wright"
"45","Brainerd","16","226","369","Gilbert","Crow Wing"
"17","Holmes City","2","190","204","Gilbert","Douglas"
"24","Sedan","4.2","206","321","Gilchrist","Pope"
"9","White Bear Lake","n/a","110","110","Gilfillian","Ramsey"
"12","Mallard","6","356","356","Gill","Clearwater"
"55","Blackduck","8.8","112","294","Gilstad","Beltrami"
"81","Longville","10","272","406","Girl","Cass"
"25","Glen lake","10","89","98","Glen lake","Hennepin"
"10","Chisholm","5","2","2","Godfrey-Glen Pit","St. Louis"
"25","Circle Pines","5","51.3","57.2","Golden","Anoka"
"24","Cold Spring","3","97","150","Goodners","Stearns"
"55","Stark","5.8","370","754","Goose","Chisago"
"5.7","Red Wing","N/A","157","157","Goose","Goodhue"
"9","Lynd","1.9","148.96","148.96","Goose","Lyon"
"5","Hitterdahl","N/A","N/A","122","Goose Prairie","Clay"
"14","Le Center","6","499","499","Gorman","Lesueur"
"16","Forest Center","8","297","432.9","Grace","Cook"
"42","Bemidji","6.8","340","859.82","Grace","Hubbard"
"10","Duxbury","2.9","79.77","79.77","Grace","Pine"
"34","Frazee","10.8","126","210","Graham","Otter Tail"
"6","Bejou","2","40","40","Grace Marsh","Mahnomen"
"24","Twig","12","1510","1592","Grand","St. Louis"
"34","Cold Spring","4","235","655","Grand","Stearns"
"34","Annanndale","6","108","339","Granite","Wright"
"92","Wilton","11","85","208","Grant","Beltrami"
"35","Annadale","7","61.6","71.47","Grass","Wright"
"15","Ely","8","213","213","Grassy","St. Louis"
"39","Marcell","9.5","304","500","Grave","Itasca"
"19","Cold Spring","n/a","355","356","Great Northern","Stearns"
"32","Chisago City","7","1228","1714","Green","Chisago"
"28","Princeton","3","357","802","Green","Isanti"
"110","Spicer","13.2","2035","5406","Green","Kandiyohi"
"18","Montgomery","N/A","261","293","Greenleaf","Lesueur"
"18","Litchfield","2.4","180","224","Greenleaf","Meeker"
"2,3,2,6","St Augusta","2,3,2,3","0.2,0.25,0.22,0.1","0.2,0.25,0.22,0.1","Green Slough 1,2,3,4","Stearns"
"72","Ely","12","131","345","Greenstone","Lake"
"295","Grand Rapids","30","7","72","Greenway Mine Pit","Itasca"
"112","Grand Marais","14.5","537","2021","Greenwood","Cook"
"7","Isabella","3.2","1300","1300","Greenwood","Lake"
"153","Sandstone","8","71","526","Grindstone","Pine"
"11","Hinckley","5.5","26","26","Grindstone Reservoir","Pine"
"31","Sedan","18","265","379","Grove","Pope"
"44","Palisade","7.5","292","730","Gun","Aitkin"
"41","Talmoon","13","47","146","Gunderson","Itasca"
"80","Nisswa","13","2825","9418","Gull","Cass"
"39","Marcell","9","142","342","Gunn","Itasca"
"14.5","Bloomington","9","13","13","Haeg","Hennepin"
"59","Blackberry","10.50","114","131","Hale","Itasca"
"6","Squaw Lake","3","14","14","Hale","Itasca"
"17","130.37","","60","37","Hale","Itasca"
"40","Eveleth","8.5","58","153","Half Moon","St. Louis"
"23","Saint Peter","11","14","14","Hallett","Nicollet"
"22","Ham Lake","6.8","174","174","Ham","Anoka"
"22","Blaine","4.9","160","168.08","Ham","Anoka"
"22","Lincoln","10","20","38","Ham","Morrison"
"44","Aitkin","10","262","374","Hammal","Aitkin"
"23","Battle Lake","5","109","182","Hancock","Otter Tail"
"57","Backus","12","140","269","Hand","Cass"
"7.70","White Bear Lake","5","7.70","7.70","Handlo's","Ramsey"
"80","Barnum","8.8","86","408","Hanging Horn","Carlton"
"35","Aitkin","n/a","142","302","Hanging Kettle","Aitkin"
"16","Hanska","N/A","1773","1773","Hanska","Brown"
"87","Minneapolis","12","85","335","Harriet","Hennepin"
"37","Isabella","15","194","265","Harriet","Lake"
"13","Guthrie","12","224","224","Hart","Hubbard"
"55","Pengilly","12","75","325","Hart","Itasca"
"49","Nashwauk","10","98","281","Hartley","Itasca"
"88","Marcell","11","49","243","Hatch","Itasca"
"39","Lake George","8.5","77","259","Hattie","Hubbard"
"9","Alberta","3.2","477","477","Hattie","Stevens"
"7.3","Ivanhoe","1","282","282","Hawks Nest","Lincoln"
"16","Wrenshal","n/a","214","215","Hay","Carlton"
"56","Backus","11.6","179","350","Hay","Cass"
"100","Jenkins","11","215","685","Hay (Lower)","Crow Wing"
"42","Jenkins","5","184","581","Hay (Upper)","Crow Wing"
"26","Richville","6.5","137","249","Head","Otter Tail"
"55","Zerkel","24.1","54","206","Heart","Clearwater"
"21","Detroit Lakes","7.5","3190","3520","Height of Land","Becker"
"47","Erhard","12.6","97","224","Heilberger","Otter Tail"
"10","Birchwood","6.75","10","10","Heiner's Pond","Ramsey"
"52","","14.5","16","31.96","Hemphill",""
"69","Spicer","8","72","72","Henderson","Kandyohi"
"12","Hendricks","2.25","1557","1557","Hendricks","Lincoln"
"14","Becida","9.2","407","407","Hennepin","Hubbard"
"5","Lakefield","N/A","2845","2845","Heron","Jackson"
"33","Minneapolis","5","25","53.5","Hiawatha","Hennepin"
"2","Fairhaven","2","3","3","Highway Slough","Stearns"
"9","","1.76","13","13","Highlands",""
"7","Fairhaven","3","1","1","Hill","Stearns"
"48","Hill City","7.6","354","907","Hill","Aitkin"
"300","","19","775","775","Hill Annex Pit",""
"12","","2.2","10","5.78","Hills Reservoir",""
"36","Park Rapids","15","221","294","Hinds","Hubbard"
"21","North Mankato","8.5","12","18.1","Hiniker Pond","Blue Earth"
"35","Clearwater","7","N/A","13","Hinz","Stearns"
"14.5","Bloomington","1.75","4.6","14.35","Hogback Ridge","Hennepin"
"8","Minnetonka","0.4","7","7","Holiday","Hennepin"
"40","Wirt","14","69","193","Holloway (Bass)","Itasca"
"65","Bovey","16","78","146","Holman","Itasca"
"7","Medina","2.5","65","65","Holy Name","Hennepin"
"NA","Ada","NA","NA","NA","Home","Norman"
"22","Lutsen","6.4","400","443","Homer","Cook"
"18","Hutchinson","1.3","324","327","Hook","McLeod"
"10","Grove City","0.6","250","250","Hope","Meeker"
"12","Dakota","6.5","20","20","Hornbean","Sunfish Lake"
"51","Backus","11","80","225","Horsehoe","Cass"
"53","Harris","6","112","197","Horseshoe","Chisago"
"52","Laporte","13.5","143","253","Horseshoe","Hubbard"
"25","Marcell","10.5","241","270","Horseshoe","Itasca"
"26","Waterville","2.2","N/A","393","Horseshoe","Lesueur"
"57","Richmond","3","275","550","Horseshoe","Stearns"
"39","Howard Lake","3.5","318","717","Howard","Wright"
"8","Rochert","3.2","37","37","Hubbel Pond","Becker"
"83","Nisswa","14","465","1294","Hubert","Crow Wing"
"25","Clearwater","14","N/A","13","Hulbert","Stearns"
"60","Frazee","9.7","180","240","Hungry","Becker"
"258","Crosby","38.5","14","93.57","Huntington Mine","Crow Wing"
"9","Eden Prairie","4.5","5","5","Hutton Pond","Hennepin"
"73","Ponsford","14.2","80","331","Ice Cracking","Becker"
"20","Lake Park","7","435","580","Ida","Becker"
"106","Alexandria","11","1673","4289","Ida","Douglas"
"60","Monticello","15.5","109","231","Ida","Wright"
"9","Eden Prairie","4","15","15","Idlewild","Hennepin"
"48","Melby","3","105","202","Ina","Douglas"
"58","Maple Plain","3","425","844","Independence","Hennepin"
"31","Silver Creek","3.5","65","146","Indian","Wright"
"79","Longville","12","565","1116","Inguadona","Cass"
"63","Ely","11","1190","2957","Insula","Lake"
"17","Rochester","10","11","11","Interlachen","Olmsted"
"44","Miltona","5.5","224","630","Irene","Douglas"
"19","Bemidji","4","546","613","Irving","Beltrami"
"14.5","Bloomington","4","3","3","Isaac Walton 2","Hennepin"
"19","Isabella","5","1165","1516","Isabella","Lake"
"13","Bloomington","6","5","5","Isaac Walton 3","Hennepin"
"25","Tamarack","6.5","194","243","Island","Aitkin"
"38","Snellman","10.5","457","1142","Island","Becker"
"65","Park Rapids","12","179","544","Island","Hubbard"
"35","Northome","7.5","1195","3088","Island","Itasca"
"35","Taconite","9","41","52.47","Island","Itasca"
"8","Lynd","1.57","169.73","169.73","Island","Lyon"
"43","Lengby","3.5","331","611","Island","Mahnomen"
"42","Sturgeon Lake","10.1","267","510","Island","Pine"
"65","Goodland","14.3","142","227","Island","St. Louis"
"94","Duluth","4.3","3260","8000.51","Island Lake Reservoir","St. Louis"
"25","Cromwell","5.5","87","101","Island North","Carlton"
"4","St Augusta","4","4","4","Island Slough","Stearns"
"22","Cromwell","4.5","207","281","Island South","Carlton"
"6","St Augusta","4","2","2","Jacob's Ark North","Stearns"
"40","Lake Itasca","5","449","1077","Itasca","Clearwater"
"8","St Augusta","5","9","9","Jacob's Ark South","Stearns"
"45","Marcell","12.5","245","383","Jack the Horse","Itasca"
"8","Hackensack","8","8","9","Jakes Pond","Cass"
"39","Lake Elmo","17","104","145","Jane","Washington"
"55","Goodland","7.5","119","137","Janette","St. Louis"
"25","Ely","14","123","154","Jasper","Lake"
"33","Cohasset","10","292","426","Jay Gould","Itasca"
"37","Cleveland","N/A","N/A","1,141","Jefferson","Le Sueur County"
"15","Dassel","3.5","1056","1056","Jennie","Meeker"
"42","Talmoon","8","455","1753","Jessie","Itasca"
"112","","20.608","32","32","Jessie Pit","Itasca"
"75","Elizabeth","9","262","737","Jewett","Otter Tail"
"22","Jennie","1.088","253","253","Jewitt","Meeker"
"10","Brooten","10","1584","1584","Johanna","Pope"
"43","Arden Hills","9.5","96","213","Johanna","Ramsey"
"28","Annandale","7.3","353","411","John","Wright"
"12","Porter","5.9","20.98","20.98","John Reservoir","Yellow Medicine"
"51","Marcell","15","89","305","Johnson","Itasca"
"88","Grand Rapids","13","146","492","Johnson","Itasca"
"32","Dalton","6.5","165","338","Johnson","Otter Tail"
"6","St Augusta","2","2075","2075","Johnson Creek Slough","Stearns"
"18","Ely","3","464","465","Johnson","St. Louis"
"88","Crane Lake","9","557","1674","Johnson","St. Louis]]"
"5","Fairhaven","3","14","14","Johnson Slough","Stearns"
"6","St Augusta","3","0.3","0.3","Johnson Oxbow","Stearns"
"89","Dalton","10.1","131","256","Jolly Ann","Otter Tail"
"12","Hazeltine","2","20","20","Jonathan","Carver"
"18","Jordan","12.2","17","16.5","Jordan Mill Pond","Scott"
"44","Roseville","6.8","81","118","Josephine","Ramsey"
"64","Buhl","35","3","20.19","Judson Mine Pit","St. Louis"
"12","Aden Hills","4","16","16","Judy","Ramsey"
"22","Little Sauk","3","90","118","Juergens","Todd"
"78","Ponsford","17","149","365","Juggler","Becker"
"43","Puposky","7","167","450","Julia","Beltrami"
"15","Clear Lake","3","136","142","Julia","Sherburne"
"5","Collegeville","2","0.2","0.2","Kabe Pond","Stearns"
"133","Laporte","10.5","532","2252","Kabekona","Hubbard"
"80","Kabetogama","n/a","7440","25760","Kabetogama","St. Louis"
"48","Avon","11.1","41","107.89","Kalla","Stearns"
"14","Bryon","1.5","20.14","20.14","Kalmer Reservoir","Olmsted"
"20","Fifty Lakes","12","n/a","272","Kego","Crow Wing"
"17, 25, 20","Prairie Portage","16, 21, 14","25, 10, 3","25, 24, 4","Kekekabic Ponds 1, 2, 3","Lake"
"195","Ely","18","97","1620","Kekekabic","Lake"
"34","","2.5","13","19.69","Kelzer Pond",""
"72","Mahoning","8.8","16","16","Kerr Pit","St. Louis"
"16","Elbow Lake Village","9","38","38","Kibbee","Clearwater"
"23","Taconite","4","141","296","King","Itasca"
,"Atwood",,"5.5","10","Kingsdale","Hennepin"
"50","Pennington","8","714","1785","Kitchi","Beltrami"
"50","Buyck","6.5","286","397","Kjostad","St. Louis"
"14","","8","4.591368","4.591368","Klawitter Pond",""
"20","Cold Spring","n/a","202","205","Knaus","Stearns"
"15","Mora","2","1266","1266","Knife","Kanabec"
"179","Ely","21","1037","4919","Knife","Lake"
"32","Cloquet","4.4","18","61","Knife Falls Reservoir","Carlton"
"14","Owatonna","13","32","32","Kohlmeier","Steele"
"132","Paynesville","5.2","1176","3014","Koronis","Stearns"
"N/A","Plymouth","N/A","N/A","N/A","Kraetz","Hennepin"
"12","Waldeck","11.968","15","15","Krilwitz","Aitkin"
"30","Lindstrom","6.2","150","192","Kroon","Chisago"
"10","Newport","4","44","44","La","Washington"
"8","Maple Hill","8","25","25","Lace","Cook"
"15","Milan","N/A","5589","5589","Lac qui Parle","Lac Qui Parle"
"","Dalton",,"91","91","Lacey","Otter Tail"
"62","Grey Eagle","10","68","207","Lady","Todd"
"11","Cottonwood","1.18","247","247","Lady Slipper","Lyon"
"31","Minneapolis","3.9","89","109","Lake of the Isles","Hennepin"
"210","Warroad","3.9","79253","950400 (307,000 in MN)","Lake of the Woods","Lake of the Woods"
"38","Mound","1.5","82.7","144","Langdon","Hennepin"
"8","Lake Crystal","1.2","379.38","379.38","Lake Crystal","Blue Earth County"
"10","Lanesboro","5","5.80","5.80","Lanesboro Mill Pond","Fillmore"
"9","Appleton","N/A","N/A","220","Large Henry","Swift"
"18","Olga","6.6","31","31","Lark","Polk"
"200","Nashwauk","10","47.03","47.03","Larue Pit","Itasca"
"108","Alexandria","14.5","155","776","Latoka","Douglas"
"10","Fairhaven","4.24","117","140","Laura","Stearns"
"32","Taconite","4.5","316","395","Lawrence","Itasca"
"85","Alexandria","8","767","1744","Le Homme Dieu","Douglas"
"45","Buhl","16","59","247","Leander","St. Louis"
"36","Hawley","6","86","134","Lee","Clay"
"8","St Augusta","3","14","14","Lee Slough","Stearns"
"150","Walker","n/a","57994","111527","Leech","Cass"
"8","Kimball","3","2.5","2.5","Leech Pit","Stearns"
"76","Vergas","11.3","272","609","Leek","Otter Tail"
"26","Audubon","6","316","488","Leif","Becker"
"63","Cohasset","14","78","229","Leighton","Itasca"
"10","Lincoln","5.056","62","85","Lena","Morrison"
"8","Fairhaven","4","0.25","0.25","Lenard","Stearns"
"35","Cotton","9.7","110","296","Leora (called Elora)","St. Louis"
"14","","10","3.86","3.86","LeRoy Sand Pit",""
"33","Villard","3.5","161","283","Leven","Pope"
"48","Ogilve","5.5","148","220","Lewis","Kanabec"
"7","Fairhaven","N/A","23","23","Lake 16","Stearns"
"6","Fairhaven","3","0.5","0.5","Lake 16 Bog","Stearns"
"5","Kimball","3","7","7","Lake 48","Stearns"
"58","Pelican Rapids","7","2380","5564","Lida (North)","Otter Tail"
"48","Pelican Rapids","8","356","856","Lida (South)","Otter Tail"
"184","Ridge","50","420","420","Light Blue Quarry","St Louis"
"11","Wendell","2.5","500","500","Lightning","Grant"
"3","Lake Elysaian","1","44","44","Lilly","Waseca"
"8","St Augusta","4","4","4","Lilly","Stearns"
"9","South Haven","4","10","10","Lilly Slough","Wright"
"7","Avoca","0.8","338","338","Lime","Murray"
"8","Lake Park","1","98","98","Lime","Becker"
"34","Clearwater","8.3","101","188","Limestone","Wright"
"27","Backus","10","249","377","Lind","Cass"
"284","Grand Rapids","25","8","82","Lind Pit","Itasca"
"5","St Augusta","4","8","8","Linda Slough","Stearns"
"29","Lindstrom","3.5","55","137","Lindstrom (North)","Chisago"
"34","Lindstrom","n/a","208","499","Lindstrom (South)","Chisago"
"25","Glen","1","81","81","Lingroth","Aitkin"
"50","Sedan","12.5","78","197","Linka","Pope"
"15","Lindstrom","0.6","180","180","Linn","Chisago"
"42","Wyoming","4","475","559","Linwood","Anoka"
"34","Markham","5.2","203","251","Linwood","St. Louis"
"6","South Haven","5","157","157","Lisa","Wright"
"23","Center City","3.4","124","159","Little","Chisago"
"30","Outing","n/a","67","112","Little Bass","Cass"
"62","Cohasset","15","55","155","Little Bass","Itasca"
"72","Togo","9.5","10","25.79","Little Bass","Itasca"
"35","Togo","7","97","142","Little Bear","Itasca"
"58","Ponsford","15.5","59","275","Little Bemidji","Becker"
"33","Deer River","4.1","115","319","Little Bowstring","Itasca"
"27","Cohasset","9","11","19","Little Cavanaugh","Itasca"
"74","Longville","10.8","466","1372","Little Boy","Cass"
"123","Bigfork","14","20","76.3","Little Coon","Itasca"
"20","Deer River","6","530","619.1","Little Cut Foot Sioux","Itasca"
"18","Waubun","8.5","119","158","Little Elbow","Mahnomen"
"26","Outing","8","89","111","Little Emily","Crow Wing"
"34","Detroit Lakes","15","95","205","Little Floyd","Becker"
"41","Nisswa","10","161","185","Little Hubert","Crow Wing"
"32","Nevis","5.5","137","212","Little Island","Hubbard"
"50","Deer River","8.6","206","637","Little Jessie","Itasca"
