"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"49","Chanhassen","2.7","109","297","Riley","Carver"
"18","Litchfield","5.5","466","558","Ripley","Meeker"
"39","Aitkin","n/a","295","556","Ripple","Aitkin"
"28","","18","5.77","5.77","Riverpointe Pond",""
"2","St Augusta","2","1.25","1.25","River Slough","Stearns"
"43","Shieldsville","1.5","393.4","625.4","Roberds","Rice"
"13","McGregor","4.8","317","317","Rock","Aitkin"
"18","Detroit Lakes","4","1001","1048","Rock","Becker"
"7.2","Russell","1","422","439","Rock","Lyon"
"40","Ely","7","42","116","Rocky","St. Louis"
"11","Markville","5.6","79.32","79.32","Rock","Pine"
"8,16,12,12","South Haven","6,6,5,6","5,3,1.5,10","5,3,1.5,10","Rockwood Slough 1,2,3,4","Wright"
"135","Riverton","20","10","25","Roe Mine","Crow Wing"
"120","Ridge","40","100","100","Rolling Pit","St Louis"
"129","Outing","15.5","390","1585","Roosevelt","Cass"
"129","Outing","15.5","390","1585","Roosevelt","Crow Wing"
"137","Vergas","9","465","1190","Rose","Otter Tail"
"90","Grand Marais","n/a","408","1315","Rose","Cook"
"30","Emily","3.5","317","487","Ross","Crow Wing"
"20","Lake Park","7","232","241","Rossman","Becker"
"27","Tamarack","n/a","375","577","Round","Aitkin"
"59","Aitkin","12","475","633","Round","Aitkin"
"125","Garrison","n/a","322","767","Round","Aitkin"
"15","Anoka","n/a","266","266","Round","Anoka"
"69","Ponsford","10","473","1087","Round","Becker"
"51","Nisswa","n/a","627","1644","Round","Crow Wing"
"40","Big Fork","11.5","239","502","Round","Itasca"
"37","Eden Prairie","12","23","31","Round","Hennepin"
"24","Squaw Lake","7","1968","2828","Round","Itasca"
"9","Round Lake","1.1","1024","1024","Round","Jackson"
"36","Ottertail","3.4","220","262","Round","Otter Tail"
"16","Zerkel","6.5","638","653","Roy","Mahnomen"
"88","Grand Rapids","12","90","243","Ruby","Itasca"
"3","Jackson","0.7","293","293","Rush","Jackson"
"68","Ottertail","4.5","3325","5338","Rush","Otter Tail"
"12","Baxter","6","50","50","Rush","Cass"
"11","Clear Lake","1.9","142","142","Rush","Sherburne"
"24","Rush City","2.4","1033","1359","Rush (East)","Chisago"
"42","Rush City","3.1","862","1464","Rush (West)","Chisago"
"39","Emily","21","200","588","Ruth","Crow Wing"
"40","Aurora","3","135","305","Sabin","St. Louis"
"13","Cordova","7","263","263","Sabre","Lesueur"
"210","Riverton","32","56","117.82","Sagamore Mine","Crow Wing"
"280","Grand Marais","N/A","","17593","Saganaga","Cook"
"50","Detroit Lakes","6","577","1246","Sallie","Becker"
"5","Bass Brook","5","10","11.2488521579","Salter Pond","Itasca"
"23","Remer","8","635","736","Sand (Big)","Cass"
"12","Remer","7","403","403","Sand (Little)","Cass"
"135","Dorset","17.3","465","1659","Sand (Big)","Hubbard"
"80","Dorset","15.5","149","386","Sand (Little)","Hubbard"
"70","Squaw Lake","7.1","1897","4328","Sand","Itasca"
"11","Isabella","4.5","476","476","Sand","Lake"
"47","Moose Lake","12.6","215","501","Sand","Pine"
"15","Virginia","12","701","701","Sand","St. Louis"
"12","Albany","2.9","202","202","Sand","Stearns"
"17","Fosston","10","510","510","Sand Hill","Polk"
"53","Ely","19.8","17.8","61","Sandpit","Lake"
"32","Tenstrike","5.3","200","260","Sandy","Beltrami"
"59","Rockford","1.8","373","574","Sarah","Hennepin"
"11","Garvin","2.5","1093","1093","Sarah","Murray"
"27","Erskine","17","180","352","Sarah","Polk"
"39","Detroit Lakes","11.5","84","212","Sauer","Becker"
"59","Sauk Centre","4.1","1389","2094","Sauk (Big)","Todd"
"29","Sauk Centre","6","161","268","Sauk (Little)","Todd"
"15","Mound","1.93","30","30","Saunders","Hennepin"
"8","Little Canada","4.5","12","12","Savage","Ramsey"
"45","Tofte","4.5","445","765","Sawbill","Cook"
"90","Frazee","15.5","67","243","Scalp","Otter Tail"
"49","Terrace","10","237","424","Scandinavian","Pope"
"65","Scanlon","5.5","45","63","Scanlon Reservoir","Carlton"
"15","Saint Nicholas","5.888","54","54","School","Stearns"
"16","Casey","7","55","55","Schoolhouse","Meeker"
"11","Cottonwood","1.55","318","318","School Grave","Lyon"
"8","Kimball","7","6","6","School Section Slough","Stearns"
"62","Munsion","8","18.3654729109","18.3654729109","Schroeder","Stearns"
"24","Cotton","7.5","140","205","Schubert (East Bass)","St. Louis"
"49","Victoria","n/a","40","105","Schutz","Carver"
,,,,,"Scooty","Itasca"
"145","Grand Marais","11.5","927","4032","Sea Gull","Cook"
"376","Ridge","42","320","320","Second Black Quarry","St Louis"
"172","Trommald","31","2.9","14.53","Section 6 Mine","Crow Wing"
"10","Crane Lake","10","35","35","Section Pond","St. Louis"
"65","Deerwood","10","338","1057","Serpent","Crow Wing"
"42","Nevis","7","120","254","Seventh Crow Wing","Hubbard"
"52","Dalton","17","168","338","Sewell","Otter Tail"
"48","Ely","8","711","2344","Shagawa","St. Louis"
"15","Onamia","5.7","675","675","Shakopee","Mille Lacs"
"3.2","Shakopee","2","14","14","Shakopee Memorial Pond","Scott"
"85","Warba","18.2","268","531","Shallow","Itasca"
"14","Alvwood","9","176","224.65","Shallow Pond","Itasca"
"56","Motley","20","746","1428","Shamineau","Morrison"
"55","Taconite","14","18","50.33","Shamrock","Itasca"
"10","Ivanhoe","2","995","995","Shaokotan","Lincoln"
"3","St Augusta","3","0.2","0.2","Sheep Slough","Stearns"
"16","Snellman","4","3070","3140","Shell","Becker"
"10","Currie","N/A","3596","3596","Shetek","Murray"
"8.5","Appleton","2","340","340","Shible","Swift"
"42","Shieldsville","8","658.1","872","Shields","Rice"
"40","Akeley","12","43","171.93","Shingobee","Hubbard"
"77","Nashwauk","13.5","114","286","Shoal","Itasca"
"7","Grand Rapids","4","645","645","Shoal","Itasca"
"15","Jeffers","3.20","20","20","Shoper-Bush Reservoir","Cottonwood"
"32","Chisholm","14","153","372","Side","St. Louis"
"39","Hawley","6","36","114","Silver","Clay"
"34","Frazee","4.7","224","247","Silver","Otter Tail"
"11","Rochester","1.3","34","50.41","Silver","Olmsted"
"8","Arlington","1","621","621","Silver","Sibley"
"45","Chester","3.5","106.52","106.52","Silver Creek Reservoir","Olmsted"
"15","Isabella","7.5","1102","1102","Silver Island","Lake"
"105","Grand Rapids","9","292","1306","Siseebakwet (Sugar)","Itasca"
"37","Aitkin","6.5","219","365","Sissabagama","Aitkin"
"68","Bena","8.3","606","1288","Six Mile","Cass"
"40","Nevis","5.7","160","320","Sixth Crow Wing","Hubbard"
"52","Ely","14.5","58","58","Skindance","Lake"
"42","Ridge","33","50","50","Skinny Pit","St Louis"
"36","Cambridge","3.8","135","226","Skogman","Isanti"
"7","Bloomington","3.6","5.7","5.7392102847","Skriebakken","Hennepin"
"7","Isabella","2.7","294","294","Slate","Lake"
"21","Sleepy Eye","2.5","203","277","Sleepy Eye","Brown"
"8","Kingston","3","12","12","Slough 737","Meeker"
"105","Ridge","33","42","42","Small Quarry","St Louis"
"12","Eden Prairie","3","53","59","Smetana","Hennepin"
"54","Garrison","13.5","181","441","Smith","Crow Wing"
"30","Alexandria","3.5","270","575","Smith","Douglas"
"51","Brimson","","74","180","Smith","St. Louis"
"16","Bloomington","3.5","8.6","7.65","Smith Pond","Hennepin"
"30","Shoreview","9","130","150","Snail","Ramsey"
"29","Nay-tah-waush","8","268","632","Snider","Mahnomen"
"85","Riverton","26","1","6.58","Snoshoe Mine","Crow Wing"
"16","Plymouth","1.03","10","10","Snyder","Hennepin"
"150","Ely","21","879","3303","Snowbank","Lake"
"21","Maple Lake","2","128","158","Somers","Wright"
"17","Maple Hill","8.5","16.15","16.15","South Bean","Cook"
"28","Finlayson","9","96","372","South Big Pine","Aitkin"
"47","Brainerd","9","461","1313","South Long (Lower)","Crow Wing"
"47","Brainerd","7","283","802","South Long (Upper)","Crow Wing"
"102","Ridge","32","70","70","South Long Pit","St Louis"
"24","Kimball","12","0.3","0.3","South Pit","Stearns"
"15","Lake Park","1.8","450","450","South Stake","Becker"
"43","Chisholm","1.9","45","192","South Sturgeon","Itasca"
"35","Underwood","15.8","398","630","South Turtle","Otter Tail"
"29","Waubun","7","525","1000","South Twin","Mahnomen"
"2","Wells","N/A","392","392","South Walnut","Faribault"
"51.5","Cambridge","11.7","157","239","Spectacle","Isanti"
"7","Clarkfield","","189+","189+","Spellman","Yellow Medicine"
"96","Nevis","15","405","544","Spider","Hubbard"
"36","Marcell","10.5","737","1349","Spider","Itasca"
"49","Bennettville","12","260","530","Spirit","Aitkin"
"45","Menahga","8.3","65","115","Spirit","Wadena"
"33","Urbank","9","631","728","Spitzer","Otter Tail"
"34","Grand Rapids","8.5","511","1420","Split Hand","Itasca"
"16","Pipestone","1.8","79","95.79","Split Rock Reservoir","Pipestone"
"85","Winton","16","87","223","Spoon","Lake"
"6","Maplewood","N/A","10","6.82","Spoon","Ramsey"
"30","Dassel","4","165","218","Spring","Meeker"
"35","Lengby","6","44","136","Spring","Polk"
"37","Prior Lake","2.3","290","580","Spring","Scott"
"65","Ridge","35","72","72","Spring North Mine Pit","St Louis"
"60","Crane Lake","15.5","49","194","Spring","St. Louis"
"125","Ridge","35","120","120","Spring South Mine Pit","St Louis"
"16","Markham","7.2","1.20","1.20","Spring Hole","St. Louis"
"68","Stillwater","2.1","65","195","Square","Washington"
"95","Underwood","7.5","575","1280","Stalker","Otter Tail"
"15","Litchfield","2.9","557","557","Star","Meeker"
"30","Lincoln","9","36","47","Star","Todd"
"94","Dent","11.4","2813","4721","Star","Otter Tail"
"66","Emily","8","n/a","215","Stark","Crow Wing"
"6","Arco","0.8","224","224","Stay","Lincoln"
"93","Cass Lake","10","532","1775","Steamboat","Cass"
"6.5","Hendricks","1","208","208","Steep Bank","Lincoln"
"75","Darwin","5.6","226","553","Stella","Meeker"
"202","Ridge","40","323","323","Stephens Settling Basin","St Louis"
"63","Longville","13","67","105","Stevens","Cass"
"24","Two Harbors","10.3","247","248","Stewart","Lake"
"25","Nashwauk","5.5","207","378","Stingy","Itasca"
"7","Lake Park","1.3","370","370","Stinking","Becker"
"381","Aurora","33","8.4","104.54","St James Pit","St. Louis"
"22","Menahga","5","326","343","Stocking","Wadena"
"17","Rollins","7","196","206","Stone","St. Louis"
"50","Hackensack","22","178","595","Stony","Cass"
"4","Isabella","3","227","227","Stony","Lake"
"19","Fosston","4","46","49.65","Store","Polk"
"14","Brandon","4","366","366","Stowe","Douglas"
"16","St Peter","9","3","3","St Peter Hospital Pond","Nicollet"
"63","Osage","7","178","423","Straight","Becker"
"40","White Earth","18","563","1522","Strawberry","Becker"
"2","St Augusta","2","3","3","Stream Slough","Stearns"
"49","Vining","24","405","699","Stuart","Otter Tail"
"40","Buhl","17.5","1","13","Stubler Pit","St. Louis"
"40","Sturgeon Lake","8.7","495","1405","Sturgeon","Pine"
"80","Chisholm","14.5","667","1664","Sturgeon","St. Louis"
"31","Ely","9","178","393","Sucker","Lake"
"45","Glen","13","267","398","Sugar","Aitkin"
"44","Remer","3.4","325","664","Sugar","Cass"
"22","Cass Lake","9","1268","1585","Sugar","Itasca"
"69","Maple Lake","11","357","1015","Sugar","Wright"
"42","Richwood","14.5","297","472","Sugar Bush (Big)","Becker"
"29","Richwood","12.2","99","202","Sugar Bush (Little)","Becker"
"57","Harding","n/a","567","1221","Sullivan","Morrison"
"21","Lindstrom","2.7","712","742","Sunrise","Chisago"
"17","White Bear Lake","5","124","124","Sunset","Washington"
"10.5","Burnsville","5.7","41.38","44.45","Sunset Pond","Dakota"
"1333","Duluth","","","20365000 (962,700 in MN)","Superior","Cook"
"17","Chanhassen","2.3","75","87.78","Susan","Carver"
"9","Maple Hill","6","2.7548","2.7548","Susana","Cook"
"5","Glen","4","273","273","Swamp","Aitkin"
"20","Watkins","7.36","23","23","Swamp","Stearns"
"10","","5.5","164.63","164.63","Swamp River Reservoir",""
"65","Pengilly","9.5","507","2472","Swan","Itasca"
"10","Silver Lake","N/A","343","343","Swan","McLeod"
"8.5","Nicollet","N/A","N/A","9346","Swan","Nicollet"
"44","Fergus Falls","11.5","371","689","Swan","Otter Tail"
"76","Bemidji","17.5","136","388","Swenson","Beltrami"
"74","Vergas","13.5","423","706","Sybil","Otter Tail"
"31","Sylvan","6","190.97","321.49","Sylvan","Morrison"
"78","South Haven","17","170","652","Sylvia","Wright"
"6","St Augusta","N/A","37","37","Sylvia TW","Stearns"
"6","Dundee","1","678","678","Talcot","Cottonwood"
"11","Pelican Rapids","6","392","392","Tamarac","Otter Tail"
"17","Rochert","3.5","1389","1431","Tamarack","Becker"
"48","Wright","5","176","228","Tamarack","Carlton"
"29","","3.008","38","54","Tanager",""
"6","Bloomington","6","3","3","Tarnhill Pond","Hennepin"
"9,9,9","North Oaks","3,3,3","2.75,0.4,0.91","2.75,0.459,0.918","Teal Ponds 1, 2, 3","Ramsey"
"208","Hackensack","15.5","1316","4669","Ten Mile","Cass"
"51","Dalton","8","597","1411","Ten Mile","Otter Tail"
"15","Terrace","6","9","9","Terrace Mill Pond","Pope"
"35","Waterville","9","548","1336","Tetonka","Lesueur"
"52","Northome","N/A","23","38.89","Teufer","Koochiching"
"6","Glenwood Junction","3","8","8","The Rapids","Hennepin"
"44","Richmond","6.03","12","35","Thein","Stearns"
"15","Gatzke (or Middle River)","N/A","N/A","N/A","Thief","Marshall"
"35","Hubbard","7","367","643","Third Crow Wing","Hubbard"
"50","Cass Lake","10","329","470","Thirteen","Cass"
"17","Buhl","11","73","79","Thirteen","St. Louis"
"45","Togo","13","73","318","Thistle Dew","Itasca"
"12","Shakopee","6.8","118.52","118.52","Thole","Scott"
"12","Shakopee","2","105","105","Thole/Schneider","Scott"
"26","Thomson","","","","Thomson Reservoir","Carlton"
"64","Ridge","40","12","12","Thong Pit","St Louis"
"21","Deerwood","9","203","216","Thornton","Aitkin"
"14","Hawley","1.5","N/A","105","Three","Clay"
"25","Turtle River","7.75","635","678","Three Island","Beltrami"
"66","Marcell","18","66","235","Three Island","Itasca"
"95","Remer","20","226","1330","Thunder Lake","Cass"
"8","Eden Prairie","5","4","4","Tieney's Woods Pond","Hennepin"
"13","Hitterdahl","2","259","259","Tilde","Clay"
"8","Windom","0.9","198","198","Timber","Jackson"
"56","Ridge","30","8","8","Tiny Pit","St Louis"
"3","St Augusta","3","0.3","0.3","Tiny Slough","Stearns"
"225","Cohasset","43","1","51","Tioga Mine Pit","Itasca"
"222","Ridge","32","310","310","Titicaca Pit","St Louis"
"29","Osage","5.3","561","1716.17","Toad","Becker"
"73","Ely","13","42","155","Tofte","Lake"
"35","Hovland","7.5","334","576","Tom","Cook"
"7","Isabella","2.8","25.1","25.1","Tornado","Lake"
"11","Longville","10.5","510","510","Town Line","Cass"
"12","Browns Valley","N/A","11528","11528","Traverse","Traverse"
"6","Kimball","3","2","2","Tree Pit North","Stearns"
"32","Longville","6","355","602","Trelipe (Lower)","Cass"
"7","Kimball","4","2","2","Tree Pit South","Stearns"
"69","Longville","12.5","143","409","Trelipe (Upper)","Cass"
"2,2,2","St Augusta","2,2,2","4.5,14,5","4.5,14,5","Tree Slough 1,2,3","Stearns"
"43","Ely","16","160","309","Triangle","Lake"
"17","Ridge","10","6","6","Triangle Pit","St Louis"
"45","Mankato","9","3","3","Troost Pond","Blue Earth"
"77","Grand Marais","17","59","257","Trout","Cook"
"135","Coleraine","14.5","438","1890","Trout","Itasca"
"157","Grand Rapids","10","386","1753","Trout","Itasca"
"76","Vergas","9.9","272","620.8","Trowbridge","Otter Tail"
"43","Waubun","8.5","281","773","Tulaby","Mahnomen"
"6,6","St Augusta","3,3","0.25,0.25","0.25,0.25","Turquoise Pit 1,2","Stearns"
"45","Bemidji","8","718","1436","Turtle (Big)","Beltrami"
"25","Puposky","7","302","464","Turtle (Little)","Beltrami"
"21","Forada","2","183","220","Turtle","Douglas"
"137","Marcell","10.5","556","2052","Turtle","Itasca"
"12","Fosston","2.3","545","545","Turtle","Polk"
"28","Shoreview","4.5","245","409","Turtle","Ramsey"
"63","Turtle River","10","688","1740","Turtle River","Beltrami"
"130","BWCA","9.5","198","833","Tuscarora","Cook"
"44","Robbinsdale","4.6","172","212","Twin","Hennepin"
"50","Amor","16","189","333","Twin","Otter Tail"
"43","Grey Eagle","1.5","299","314","Twin","Todd"
"97","South Haven","n/a","244","872","Twin","Wright"
"27","Grand Marais","9","702","731","Two Island","Cook"
"63","Holdingford","5.2","201","575","Two Rivers","Stearns"
"6","Stacy","1.5","295","295","Typo","Isanti"
"8","Wegdahl","3.072","122","122","Unger Marsh Pond","Chippewa"
"18","New Munich","9.5","N/A","258","Uhlenkolts","Stearns"
"83","Erskine","10.2","265","734","Union","Polk"
"10","Little Chicago","3.6","403","403","Union","Rice"
"35","South Haven","2.5-5","27.4","92.93","Union","Wright"
"7","South Haven","3","66","66","Union Slough","Wright"
"55","Dorset","9","176","465","Bottle (Upper)","Hubbard"
"2","St Augusta","0","10","10","Tammy Lake","Stearns"
"10","Clearwater","5","32","32","Unnamed Reservoir","Stearns"
"145","","25.472","6","6","Unnamed Mine","Crow Wing"
"6","St Augusta","3","0.1","0.1","Unnamed Slough 1","Stearns"
"72","Ridge","30","22","22","Unnamed Pit","St Louis"
"5","St Augusta","4","0.1","0.1","Unnamed Slough 2","Stearns"
"29","Lake Park","3.9","471","856","Upper Cormorant","Becker"
"24","Emily","6.5","214","285","Upper Dean","Crow Wing"
"54","Nisswa","9.5","154","371","Upper Gull","Cass"
"48","Lake Itasca","8","40","221","Upper Lasalle","Clearwater"
"15","Finlayson","3.2","210","210","Upper Pine","Pine"
"13","Calumet","3.8","147.77","147.77","Upper Panasa","Itasca"
"18","Waskish","N/A","N/A","107832","Red (Upper)","Beltrami"
"13","Shevlin","N/A","1689","1689","Upper Rice","Clearwater"
"9","Duluth","5","7.7","1.94","Upper Twin Pond","St. Louis"
"58","Vadnais Heights","8","138","394","Vadnais (east)","Ramsey"
"9","Vadnais Heights","2","216","216","Vadnais (west)","Ramsey"
"27","Palisade","n/a","189","230","Vanduse","Aitkin"
"76","Tower","n/a","15006","40557","Vermilion","St. Louis"
"55","Ely","14","86","245","Vera","Lake"
"27","Remer","8","230","397","Vermillion","Cass"
"59","Miltona","18","207","309","Vermont","Douglas"
"60","Alexandria","12.3","122","419","Victoria","Douglas"
"8","St Augusta","5","890","890","Vienna Slough","Stearns"
"16","Villard","2.8","488","536","Villard","Pope"
"7","Platte","4","9.1827","9.1827","Vinegar","Morrison"
"34","Victoria","10.5","30","110","Virginia","Carver"
"225","Trommald","26.86","20","20","Virginia Mine","Crow Wing"
"67","Le Center","15","130","283","Volney","Lesueur"
"10","Saint Anthony","5.888","76","76","Vos","Stearns"
"115","Grand Rapids","16","785","2215","Wabana","Itasca"
"95","Longville","13.5","295","1185","Wabedo","Cass"
"14","Ponsford","11","231.5","232","Waboose","Becker"
"37","Waconia","4","1660","2996","Waconia","Carver"
"12","Wacouta Beach","6","27.5","27.5482093664","Wacouta Pond","Goodhue"
"12","Wadena","6","12","12.12121212","Wadena City Pond","Wadena"
"15","Willmar","1.9","1664","1664","Wagonga","Kandiyohi"
"9","Maplewood","4.92","22.5","22.5","Wakefield","Ramsey"
"29","Ottertail","4.7","342","540","Walker","Otter Tail"
"34","Fergus Falls","5.5","229","683","Wall","Otter Tail"
"2.2","St Augusta","5","2.2","","Wall Cloud","Stearns"
"8","Eden Prairie","5","7","7","Wallo Pond","Hennepin"
"38","Clearwater","8.5","12","37.43","Warner","Stearns"
"12","Windom","7","3","3.4435261708","Warren Pond","Cottonwood"
"6","Atwood","5","17","17","Wanda Miller","Hennepin"
"111","Outing","12.5","748","1554","Washburn","Cass"
"51","Madison Lake","2.2","783","1487","Washington","Lesueur"
"17","Darwin","3.9","2454","2639","Washington","Meeker"
"41","Victoria","2","112","153","Wassermann","Carver"
"67","Taconite","14","208","415","Wasson","Itasca"
"54","St. Joseph","","","94","Watab","Stearns"
"38","Palisade","5.5","292","644","Waukenabo","Aitkin"
"71","Waverly","3","141","485","Waverly","Wright"
"57","Maple Grove","3.4","76","149","Weaver","Hennepin"
"5","South Haven","5","12","12","Weed Slough","Wright"
"84","Hackensack","16","278","754","Webb","Cass"
"3","Kimball","3","1","1","Weed Pit","Stearns"
"27","","17","347","966.53","Wellner-Hageman Reservoir",""
"108","Battle Lake","17.5","2496","5624","West Battle","Otter Tail"
"12","Isabella","7.5","114","114","West Chub","Lake"
"50","Nevis","16","142","279","West Crooked","Hubbard"
"240","Ridge","40","380","380","West Fat Pit","St Louis"
"24","Cleveland","1.5","348","441","West Jefferson","Lesueur"
"97","South Haven","17","244","904.37","West Lake Sylvia","Wright"
"55","Ottertail","9.9","256","684","West Leaf","Otter Tail"
"16","Underwood","9","692","723","West Lost","Otter Tail"
"62","Vergas","13.6","183","573","West McDonald","Otter Tail"
"14","Motley","2","22","22.9568411387","West Nelson","Morrison"
"10","South Haven","5","3","3","West Pittman","Wright"
"14","Grand Marais","6.2","71","71","West Pope","Cook"
"35","Chisholm","5","42","114","West Sturgeon","St. Louis"
"4.5","Graceville","0.3","322","322","West Toqua","Big Stone"
"27","Mountain Iron","17","347","966.53","West Two Rivers Reservoir","St. Louis"
"10","Florence","2.8","232","232","West Twin","Lyon"
"10","Grand Marais","7.5","21","21","Whale","Cook"
"25","St Bonifacius","1.9","552","558","Whaletail","Hennepin"
"83","White Bear Lake","10.5","1314","2416","White Bear","Ramsey / Washington"
"120","White Earth","14.5","599","2079","White Earth","Becker"
"4","Swatara","4","n/a","854","White Elk","Aitkin"
"47","Ely","4","1603","3429","White Iron","St. Louis"
"10","Lutsen","4.1","342","342","White Pine","Cook"
"2","St Augusta","2","3","3","White Slough","Stearns"
"19","Bigfork","10","119","158","White Swan","Itasca"
"35","Markham","5.1","4480","5600","Whiteface","St. Louis"
"138","Cross Lake","9","2713","7370","Whitefish","Crow Wing"
"62","Garrison","13.5","428","696","Whitefish","Crow Wing"
"51","Wirt","8","261","563","Whitefish","Itasca"
"49","Tofte","22","191","339","Whitefish","Lake"
"18","Fosston","3.8","183","226","Whitefish","Polk"
"73","Hoyt Lakes","12","564","1210","Whitewater","St. Louis"
"15","South Haven","4.47","18","18","Widmark","Wright"
"39","Palisade","n/a","106","372","Wilkins","Aitkin"
"4","Kimball","3","186","186","Willow","Stearns"
"24","Rochester","3","30.9","39","Willow Reservoir 4","Olmsted"
"22","Rochester","11","62","70","Willow Reservoir 6A","Olmsted"
"18","Woodbury","8","21","21","Wilmes","Washington"
"53","Schroeder","17","229.5","622","Wilson","Lake"
"8","Lake Wilson","1.8","170","170","Wilson","Murray"
"58","Frazee","7","107","275","Wimar","Otter Tail"
"50","Orr","7.5","54","360","Winchester","St. Louis"
"15","Bemidji","6","129","199","Windigo","Beltrami"
"39","Isabella","7.5","199","450","Windy","Lake"
"70","Deer River","n/a","18904","58544","Winnibigoshish","Cass"
"33","Winona","3.3","278","307","Winona","Winona"
"12","Winsted","2.1","376","376","Winsted","McLeod"
"25","Golden Valley","3.5","23","38","Wirth","Hennepin"
"6","Mankato","2","474","474","Wita","Blue Earth"
"19","Ely","10","36","40.58","Witness","Lake"
"8","Washington","4","13","13.7741046832","Wojtowicz Pond","Scandia"
"16","Wolf Lake","N/A","1445","1445","Wolf","Becker"
"11","Dassel","3","259","259","Wolf","Meeker"
"28","Ely","10.5","145","299","Wolf","St. Louis"
"25","Saint Louis Park","2.6","3","3.28","Wolfe Park","Hennepin"
"67","Longville","9.8","1953","5496","Woman","Cass"
"15","Richfield","1.35","42","42","Wood","Hennepin"
"14","Russell","7","367","372.8","Wood (Marguerite)","Lyon"
"9","Wood Lake","2.75","432","432","Wood","Yellow Medicine"
"14","Burnsville","4.32","13.26","13.26","Wood Park","Dakota"
"17","Duluth Junction","5.28","11","11","Wood Pile","Washington"
"5","Elbow Lake","2","345","345","Worm","Grant"
"52","Aurora","6","70","278","Wynne","St. Louis"
"102","Goodview","33","82","82","Xander","Winona"
"8","Balaton","N/A","387","387","Yankton","Lyon"
"50","Kinney","10","3","16","Yates","St. Louis"
"143","Crosby","27","2.1","14.1","Yawkey Mine","Crow Wing"
"15","","9.25","5.3","5.3","Youth Fishing",""
"22","Forest Center","13.056","24","24","Zenith","Cook"
"40","Prairie Portage","6","95","122","Zephyr","Cook"
"3","Collegeville","1","3","3","Zimmer Pond","Stearns"
"96","Suomi","8","14","14","Zimmy","Itasca"
"26","Grand Marais","6","80","90","Zoo","Cook"
"58","Victoria","7.25","89","162","Zumbra","Carver"
